id,Earthquake,Flood,Tsunami,Hurricane,RC,Wood,Steel,Masonry,Lowrise,Medrise,Regional,Urban,Residential,Govern_Top,Hazard,Material,Type,Locationwise,Usage,Keywords,Approach
20625,0.721599996,0,0,0,0.050512,0,0,0.072692,0.0458,0,0.053199999,0.032900002,0.022500001,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
18596,0.1241,0.236699998,0.095799997,0.197999999,0.008687,0,0,0.012744,0.247199997,0,0.033399999,0,0,Lowrise,Flood, ,Lowrise, , ,"flood, depth, cost, observation, case_study,  low_rise,  ",Analytical
15618,0.418099999,0.095799997,0,0,0.029267,0,0,0.044968,0,0,0.315800011,0,0.0101,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",ML
20611,0.868600011,0.0111,0,0,0.060802001,0,0,0.086860001,0.0307,0,0,0,0.0407,Earthquake,Earthquake,Masonry,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry, low_rise,  ",Analytical
20214,0.885100007,0.0132,0,0.028303,0.061957,0.0341,0,0.088619001,0,0,0.0109,0,0.0105,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Empirical
22186,0.394199997,0.131699994,0.1083,0,0.027594,0,0,0.03972,0.024,0,0.029999999,0,0.203700006,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",Analytical
20290,0.664600015,0,0,0,0.251622001,0,0,0.067301001,0,0.026663,0.084100001,0,0,Earthquake,Earthquake,RC,Medrise,Regional, ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management, medium_rise, regional, ",Analytical
21492,0.680199981,0,0,0,0.157913996,0.039700001,0,0.068288998,0,0.014339,0.026900001,0,0,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Analytical
19434,0.768599987,0.039099999,0.0261,0,0.053801999,0,0,0.076859999,0.071400002,0,0,0,0,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
17417,0.795400023,0.026900001,0,0,0.075378002,0,0,0.079949002,0.0162,0.002561,0.040899999,0,0.055300001,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",Analytical
20152,0.33829999,0,0.185200006,0,0.023680999,0,0,0.036787999,0.0867,0,0.2958,0,0.063000001,Earthquake,Earthquake, ,Lowrise,Regional,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise, regional, residential, empirical, italian, disaster, national",Hybrid
18013,0.604099989,0.0458,0,0.154794998,0.042286999,0.186499998,0,0.060523999,0.036200002,0,0.0114,0.042800002,0.0107,Earthquake,Earthquake,Wood,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance, low_rise,  ",Hybrid
12753,0.76700002,0,0,0.031623,0.053690001,0.0381,0,0.077442002,0.050099999,0,0.074199997,0,0.0243,Earthquake,Earthquake, ,Lowrise,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  low_rise, regional, ",Analytical
15216,0.444700003,0.211700007,0.0122,0.114841001,0.031129,0.055,0,0.04447,0,0,0,0.141599998,0,Earthquake,Earthquake, , ,Urban, ,"seismic, earthquake, ground_motion, nonlinear,  urban, block, energy, ",Empirical
16910,0.58829999,0,0,0.140684994,0.041180999,0.169499993,0,0.058829999,0,0,0,0.0491,0,Earthquake,Earthquake,Wood, , , ,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  ",ML
17922,0.592299998,0.051399998,0,0.019671001,0.041461,0.023700001,0,0.05923,0,0,0,0,0,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
22254,0.619899988,0.044199999,0,0,0.130492998,0,0,0.062767999,0,0.011323,0.077799998,0,0,Earthquake,Earthquake,RC, ,Regional, ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  regional, ",Analytical
17462,0.368999988,0,0,0,0.459030001,0,0,0.037315999,0,0.056316,0.0416,0.085000001,0,RC,Earthquake,RC,Medrise,Urban, ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management, medium_rise, urban, block, energy, ",Analytical
17844,0.235100001,0.442499995,0,0,0.016457,0,0,0.023626,0,0,0.0116,0.098700002,0.173500001,Flood,Flood, , ,Urban,Residential,"flood, depth, cost, observation, case_study,  urban, block, energy, residential, empirical, italian, disaster, national",Analytical
15891,0.606599987,0.152099997,0.091799997,0,0.042461999,0,0,0.060879999,0,0,0.022,0.020400001,0.0243,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
15146,0.1193,0.522800028,0,0.0337,0.008351,0,0,0.014285,0.0539,0,0.235499993,0.0113,0,Flood,Flood, ,Lowrise,Regional, ,"flood, depth, cost, observation, case_study,  low_rise, regional, ",Analytical
15968,0.386900008,0.065499999,0,0.056379001,0.058083,0.031300001,0,0.040254001,0.030400001,0.00403,0.156399995,0.060800001,0.185800001,Earthquake,Earthquake, ,Lowrise,Regional,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise, regional, residential, empirical, italian, disaster, national",Empirical
12870,0.554799974,0.0517,0,0,0.038835998,0,0,0.056694997,0.0174,0,0.1215,0,0.218899995,Earthquake,Earthquake, , ,Regional,Residential,"seismic, earthquake, ground_motion, nonlinear,  regional, residential, empirical, italian, disaster, national",Analytical
12512,0.470200002,0.181500003,0,0.060092003,0.032914,0.072400004,0,0.048962,0,0,0.194199994,0,0.031800002,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Hybrid
21455,0.647300005,0.0546,0,0.083247999,0.102511,0.075599998,0.0557,0.06473,0,0.007436,0,0.058200002,0,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Analytical
21142,0.754199982,0.0305,0,0.01079,0.052793999,0.013,0,0.076473998,0,0,0.105400003,0,0.0118,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Empirical
16242,0.730700016,0.0196,0,0.0141,0.051149001,0,0,0.073820002,0,0,0.075000003,0.064499997,0.0691,Earthquake,Earthquake, , ,Regional,Residential,"seismic, earthquake, ground_motion, nonlinear,  regional, residential, empirical, italian, disaster, national",Empirical
17949,0.192300007,0.238299996,0,0,0.013461,0,0,0.019230001,0.392100006,0,0,0,0,Lowrise,Flood, ,Lowrise, , ,"flood, depth, cost, observation, case_study,  low_rise,  ",Analytical
17179,0.697000027,0.0185,0,0,0.063290001,0,0,0.070507003,0.064999998,0.001885,0.080700003,0,0.056000002,Earthquake,Earthquake, ,Lowrise,Regional,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise, regional, residential, empirical, italian, disaster, national",Analytical
17842,0.131099999,0.692300022,0,0,0.009177,0,0,0.01369,0,0,0.057999998,0.042100001,0,Flood,Flood, , , , ,"flood, depth, cost, observation, case_study ",Analytical
20612,0.80309999,0,0,0.0175,0.056216999,0,0,0.080309999,0.093099996,0,0,0,0.023399999,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
17340,0.614899993,0.066500001,0,0,0.043043,0,0,0.061489999,0,0,0,0,0.212500006,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",Empirical
18202,0.650300026,0.040800001,0.0462,0,0.045521002,0,0,0.065356003,0,0,0.032600001,0.039700001,0.072999999,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",ML
16688,0.826499999,0.020300001,0,0,0.057855,0.0147,0,0.08265,0,0,0,0,0.027899999,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Analytical
21987,0.0902,0.591199994,0,0.249300003,0.006314,0,0,0.00902,0,0,0,0,0,Flood,Flood, , , , ,"flood, depth, cost, observation, case_study ",Empirical
17501,0.630500019,0.036600001,0,0.102087003,0.044135001,0.028899999,0,0.063392002,0.029999999,0,0.034200002,0.045200001,0.0429,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
22101,0.659099996,0.114799999,0,0,0.046137,0.0383,0,0.066047,0.0427,0,0.0137,0.076099999,0.0141,Earthquake,Earthquake, ,Lowrise,Urban, ,"seismic, earthquake, ground_motion, nonlinear,  low_rise, urban, block, energy, ",Analytical
17361,0.409799993,0,0,0,0.028686,0,0,0.040979999,0.167500004,0,0,0.078000002,0.063500002,Earthquake,Earthquake, ,Lowrise,Urban,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise, urban, block, energy, residential, empirical, italian, disaster, national",ML
19688,0.693799973,0.0117,0,0,0.048565998,0,0,0.070019997,0,0,0.064000003,0.128600001,0,Earthquake,Earthquake, , ,Urban, ,"seismic, earthquake, ground_motion, nonlinear,  urban, block, energy, ",ML
19413,0.680299997,0.0117,0,0.0296,0.047621,0,0,0.06803,0.040800001,0,0,0.051600002,0.121100001,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",Analytical
16186,0.418500006,0.031800002,0,0.193118002,0.029295,0.024599999,0.065200001,0.041850001,0.122500002,0,0,0.0491,0,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
21158,0.774999976,0,0,0,0.054249998,0,0,0.078432998,0,0,0.0933,0.072700001,0,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Analytical
16748,0.681800008,0.028899999,0,0,0.061526,0.082699999,0,0.068180001,0.0127,0.001794,0,0.107299998,0.041099999,Earthquake,Earthquake,Wood, ,Urban, ,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  urban, block, energy, ",Analytical
13389,0.687600017,0,0,0,0.235732003,0,0,0.069465002,0,0.024388,0.070500001,0,0,Earthquake,Earthquake,RC,Medrise, , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management, medium_rise,  ",ML
17996,0.710300028,0.086300001,0,0,0.049721002,0,0.031300001,0.071139003,0,0,0.0109,0.045000002,0.0469,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
17817,0.228599995,0.0163,0,0,0.016002,0.224600002,0,0.022997,0,0,0.0137,0.079700001,0.387199998,Residential,Earthquake,Wood, ,Urban,Residential,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  urban, block, energy, residential, empirical, italian, disaster, national",Analytical
17944,0.823099971,0,0,0,0.077216998,0,0,0.082309997,0,0.002548,0,0.083499998,0,Earthquake,Earthquake,Masonry, ,Urban, ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  urban, block, energy, ",Analytical
16099,0.443800002,0.068999998,0,0.047973999,0.031066,0.057799999,0,0.04457,0.193399996,0,0.018999999,0.0253,0.149000004,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",ML
15578,0.067100003,0.620400012,0.0471,0,0.004697,0.018200001,0,0.00671,0.071400002,0,0,0,0.079099998,Flood,Flood, ,Lowrise, ,Residential,"flood, depth, cost, observation, case_study,  low_rise,  residential, empirical, italian, disaster, national",Analytical
17912,0.877699971,0.0109,0,0,0.115038996,0,0,0.087769997,0,0.006968,0,0,0,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Analytical
18655,0.665700018,0.096799999,0,0,0.046599001,0,0.024800001,0.067146002,0,0,0.057599999,0,0.115999997,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",Empirical
15188,0.667599976,0.0288,0,0,0.046731998,0.079800002,0,0.068005998,0,0,0.124600001,0,0,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Analytical
19825,0.620599985,0.032699998,0,0.011703,0.043441999,0.0141,0,0.062659998,0.0638,0,0.059999999,0,0.106700003,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",Analytical
15755,0.127399996,0.790300012,0,0,0.008918,0,0,0.01274,0,0,0,0,0,Flood,Flood, , , , ,"flood, depth, cost, observation, case_study ",Analytical
18625,0.256700009,0.038600001,0.382800013,0.044820001,0.041669001,0.068900001,0,0.026629001,0,0.003081,0.095899999,0.018200001,0.046999998,Tsunami,Tsunami, , ,Regional, ,"tsunami, inundation_depth, debris, field_survey,  regional, ",Analytical
19378,0.684400022,0.057100002,0,0.104663003,0.093708002,0.126100004,0,0.068588002,0,0.005954,0.0148,0.0123,0.0148,Earthquake,Earthquake,Wood, , , ,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  ",Empirical
22252,0.423999995,0,0.238399997,0,0.02968,0,0,0.044102,0.100500003,0,0.170200005,0,0.036600001,Earthquake,Earthquake, ,Lowrise,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  low_rise, regional, ",Empirical
20213,0.871699989,0,0,0.056937999,0.061018999,0.068599999,0,0.087169999,0,0,0,0,0,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Empirical
16836,0.773500025,0,0,0,0.054145002,0.0129,0,0.078463003,0.0145,0,0.111299999,0.016100001,0,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Analytical
19081,0.587499976,0.0196,0,0.117215998,0.066024999,0.0252,0.0449,0.059265998,0,0.003237,0.051600002,0.057,0,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
21088,0.769800007,0.0117,0,0,0.053886001,0,0,0.077620001,0.032400001,0,0.064000003,0,0.080600001,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",Analytical
15952,0.252600014,0.069700003,0.100400001,0.223926001,0.017682001,0.032200001,0,0.025363001,0,0,0.0103,0.034600001,0.274699986,Residential,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",Analytical
17855,0.157600001,0.405099988,0.051800001,0.052054999,0.114632003,0.0385,0,0.016005,0.021400001,0.013468,0.024499999,0,0.088799998,Flood,Flood,RC, , ,Residential,"flood, depth, cost, observation, case_study, reinforce_concrete, resilience, beam,  disaster_management,  residential, empirical, italian, disaster, national",ML
19796,0.827499986,0,0,0,0.160024999,0,0,0.082749999,0,0.013273,0,0,0,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Analytical
20235,0.1259,0.119999997,0.216800004,0.025066001,0.008813,0.030200001,0.039000001,0.015398,0,0,0.280800015,0,0.142499998,Regional,Tsunami, , ,Regional,Residential,"tsunami, inundation_depth, debris, field_survey,  regional, residential, empirical, italian, disaster, national",ML
15719,0.49059999,0.104599997,0,0.061734999,0.060142,0.0145,0,0.049059999,0.032699998,0.003354,0,0,0.155900002,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",Analytical
18052,0.724399984,0.0177,0,0,0.050707999,0,0.042599998,0.072587998,0,0,0.0148,0.132100001,0.0142,Earthquake,Earthquake, , ,Urban, ,"seismic, earthquake, ground_motion, nonlinear,  urban, block, energy, ",Analytical
17948,0.730499983,0.0133,0,0,0.051134999,0,0,0.073161998,0,0,0.0112,0,0.0111,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
21113,0.741599977,0.033599999,0,0.014110001,0.051911998,0.017000001,0,0.075275998,0,0,0.111599997,0.0199,0.043000001,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Empirical
18041,0.832000017,0.0307,0,0,0.058240001,0,0.065200001,0.083200002,0,0,0,0,0,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Analytical
18073,0.683399975,0,0,0.029879999,0.047837998,0.035999998,0,0.069919998,0,0,0.158000007,0.054900002,0,Earthquake,Earthquake, , ,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  regional, ",Analytical
16831,0.809800029,0.0117,0.031300001,0,0.087586002,0,0.0288,0.080980003,0,0.004017,0,0,0.039799999,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Analytical
22265,0.732900023,0,0,0,0.051303002,0,0,0.074998002,0.0241,0,0.1708,0.026699999,0.0104,Earthquake,Earthquake, ,Lowrise,Regional, ,"seismic, earthquake, ground_motion, nonlinear,  low_rise, regional, ",Analytical
15698,0.265199989,0.45660001,0.037,0,0.037964,0,0,0.027090999,0,0.002522,0.057100002,0.075199999,0.0361,Flood,Flood, , ,Urban, ,"flood, depth, cost, observation, case_study,  urban, block, energy, ",Analytical
20769,0.790700018,0.0101,0,0,0.107649,0,0,0.080086002,0,0.006799,0.101599999,0,0,Earthquake,Earthquake,RC, ,Regional, ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  regional, ",Analytical
15816,0.671199977,0.081799999,0,0,0.128783997,0,0,0.067119998,0.093000002,0.010634,0,0.0129,0.0277,Earthquake,Earthquake,RC,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management, low_rise,  ",Analytical
22177,0.584500015,0.0482,0,0.067645001,0.040915001,0.081500001,0,0.058915001,0.071000002,0,0.046500001,0.0283,0.0603,Earthquake,Earthquake,Wood,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance, low_rise,  residential, empirical, italian, disaster, national",Hybrid
15970,0.701600015,0.025599999,0.135000005,0,0.049112001,0,0,0.070377002,0.0115,0,0.0217,0.017999999,0.0218,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
20627,0.817799985,0,0,0,0.057245999,0,0,0.081779999,0.0726,0,0,0,0,Earthquake,Earthquake,Masonry,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry, low_rise,  ",Analytical
19830,0.655499995,0.0107,0,0,0.191485006,0.0253,0,0.065549999,0,0.018928001,0,0.0414,0,Earthquake,Earthquake,RC, , , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management,  ",Empirical
15537,0.43779999,0.1655,0,0.050232001,0.030645999,0.045500001,0.0572,0.043779999,0.018300001,0,0,0.102700002,0,Earthquake,Earthquake, , ,Urban, ,"seismic, earthquake, ground_motion, nonlinear,  urban, block, energy, ",Analytical
22040,0.449999988,0.0128,0,0.090720002,0.031499999,0.034000002,0,0.045696999,0.153200001,0,0.069700003,0,0.181199998,Earthquake,Earthquake, ,Lowrise, ,Residential,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  residential, empirical, italian, disaster, national",Analytical
18195,0.463,0.020199999,0.433899999,0,0.03241,0,0,0.046586,0,0,0.0286,0,0.034699999,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Analytical
19749,0.871500015,0,0,0.033621001,0.061005001,0.0187,0,0.087150002,0,0,0,0,0,Earthquake,Earthquake,Masonry, , , ,"seismic, earthquake, ground_motion, nonlinear, masonry, unreinfored_masonry,  ",Analytical
22207,0.648599982,0.0307,0.093699999,0,0.045401999,0,0.0184,0.064859998,0.0207,0,0,0.0298,0.050299998,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",Analytical
19642,0.111900002,0.3565,0,0.2852,0.096333001,0,0,0.01119,0.061799999,0.011505,0,0,0,Flood,Flood,RC,Lowrise, , ,"flood, depth, cost, observation, case_study, reinforce_concrete, resilience, beam,  disaster_management, low_rise,  ",Hybrid
20341,0.799399972,0,0,0,0.055957998,0.0294,0.024599999,0.080460997,0.0146,0,0.052099999,0.039700001,0.0218,Earthquake,Earthquake, , , , ,"seismic, earthquake, ground_motion, nonlinear ",Empirical
18601,0.354900002,0.29519999,0,0.058356002,0.024843,0.043200001,0,0.036364,0,0,0.087399997,0.054099999,0.0999,Earthquake,Earthquake, , ,Regional,Residential,"seismic, earthquake, ground_motion, nonlinear,  regional, residential, empirical, italian, disaster, national",Empirical
15316,0.441500008,0.081299998,0.186499998,0.085158001,0.030905001,0.102600001,0.0108,0.044150001,0,0,0,0,0.128700003,Earthquake,Earthquake,Wood, , ,Residential,"seismic, earthquake, ground_motion, nonlinear, statistical, repair, timber, insurance,  residential, empirical, italian, disaster, national",Empirical
19297,0.656300008,0.058200002,0,0,0.045941001,0,0,0.065630001,0.1017,0,0,0.054200001,0.0229,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Analytical
18087,0.793500006,0.0112,0,0,0.055545,0,0,0.079350001,0.0535,0,0,0.0449,0,Earthquake,Earthquake, ,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear,  low_rise,  ",Hybrid
21382,0.500199974,0.021500001,0.204899997,0.022078,0.060413998,0.0266,0.0231,0.050317997,0,0.003302,0.0298,0.0284,0.119800001,Earthquake,Earthquake, , , ,Residential,"seismic, earthquake, ground_motion, nonlinear residential, empirical, italian, disaster, national",Analytical
17443,0.520600021,0.0103,0.098800004,0.042661999,0.130642002,0.076899998,0.0254,0.052060002,0.0704,0.012246,0,0.070699997,0,Earthquake,Earthquake,RC,Lowrise, , ,"seismic, earthquake, ground_motion, nonlinear, reinforce_concrete, resilience, beam,  disaster_management, low_rise,  ",Analytical
